scene_name,occlusions,recovered,switches,total_matches,lambda,idrr,model
scene-0061,1022,174,1762,4664,0.0,17.025440313111545,random
scene-0103,645,88,914,2084,0.0,13.643410852713178,random
scene-0553,93,53,176,1989,0.0,56.98924731182796,random
scene-0655,719,93,930,2367,0.0,12.934631432545201,random
scene-0757,143,20,152,603,0.0,13.986013986013987,random
scene-0061,984,163,898,4699,2.0,16.565040650406505,random
scene-0103,581,79,546,2090,2.0,13.59724612736661,random
scene-0553,78,54,65,1991,2.0,69.23076923076923,random
scene-0655,714,88,667,2373,2.0,12.324929971988796,random
scene-0757,122,21,113,604,2.0,17.21311475409836,random
scene-0061,1005,168,1250,4681,0.0,16.716417910447763,trained
scene-0103,539,93,651,2087,0.0,17.25417439703154,trained
scene-0553,74,56,91,1989,0.0,75.67567567567568,trained
scene-0655,311,140,286,2352,0.0,45.01607717041801,trained
scene-0757,143,20,155,603,0.0,13.986013986013987,trained
scene-0061,767,179,689,4688,2.0,23.33767926988266,trained
scene-0103,366,92,319,2086,2.0,25.136612021857925,trained
scene-0553,49,56,35,1991,2.0,114.28571428571428,trained
scene-0655,211,129,136,2365,2.0,61.137440758293835,trained
scene-0757,89,22,79,604,2.0,24.719101123595504,trained
